Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020-21,21.0,MIN,NBA,PG,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0,124,-12.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,0.0,0.0,-0.353,-13.7,-7.4,-21.1,0.0
Career,,,NBA,,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0,124,-12.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,0.0,0.0,-0.353,-13.7,-7.4,-21.1,0.0
