Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010-11,22.0,LAL,NBA,C,41,0,215,7.9,16.2,0.485,0.0,0.0,7.9,16.2,0.485,4.2,5.7,0.739,4.7,5.9,10.6,1.7,1.0,2.5,4.7,11.6,19.9,98,105,10.0,0.532,0.0,0.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,0.0,0.3,0.3,0.057,-6.6,-0.5,-7.1,-0.3
Career,,,NBA,,41,0,215,7.9,16.2,0.485,0.0,0.0,7.9,16.2,0.485,4.2,5.7,0.739,4.7,5.9,10.6,1.7,1.0,2.5,4.7,11.6,19.9,98,105,10.0,0.532,0.0,0.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,0.0,0.3,0.3,0.057,-6.6,-0.5,-7.1,-0.3
