Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2022-23,27.0,WAS,NBA,PF,2,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,5.4,16.3,0.0,0.0,0.0,5.4,0.0,0.0,91,121,4.3,26.0,11.9,18.7,0.0,0.0,0.0,100.0,4.9,0.0,0.0,0.0,-0.021,-4.9,-6.5,-11.4,0.0
Career,,,NBA,,2,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,5.4,16.3,0.0,0.0,0.0,5.4,0.0,0.0,91,121,4.3,26.0,11.9,18.7,0.0,0.0,0.0,100.0,4.9,0.0,0.0,0.0,-0.021,-4.9,-6.5,-11.4,0.0
