Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,23.0,MIA,NBA,SG,4,0,22,2.4,14.4,0.167,2.4,14.4,0.167,0.0,0.0,0.0,0.0,0.0,4.8,4.8,2.4,0.0,0.0,2.4,7.2,7.2,53,113,-5.0,0.25,1.0,0.0,0.0,10.7,5.5,6.6,0.0,0.0,14.3,15.0,-0.1,0.0,-0.1,-0.172,-9.0,-3.8,-12.8,-0.1
Career,,,NBA,,4,0,22,2.4,14.4,0.167,2.4,14.4,0.167,0.0,0.0,0.0,0.0,0.0,4.8,4.8,2.4,0.0,0.0,2.4,7.2,7.2,53,113,-5.0,0.25,1.0,0.0,0.0,10.7,5.5,6.6,0.0,0.0,14.3,15.0,-0.1,0.0,-0.1,-0.172,-9.0,-3.8,-12.8,-0.1
