Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2021-22,24.0,TOT,NBA,SF,9.0,0.0,39.0,2.5,12.6,0.2,1.3,10.1,0.125,1.3,2.5,0.5,0.0,0.0,2.5,5.0,7.6,1.3,0.0,0.0,0.0,2.5,6.3,75.0,117.0,0.4,0.25,0.8,0.0,5.5,10.9,8.3,3.3,0.0,0.0,0.0,11.0,-0.1,0.0,0.0,-0.056,-6.9,-3.7,-10.6,-0.1
2021-22,24.0,MEM,NBA,SF,2.0,0.0,8.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,39.0,115.0,-7.1,0.0,1.0,0.0,12.8,13.4,13.1,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,-0.143,-14.5,-5.5,-19.9,0.0
2021-22,24.0,UTA,NBA,SF,7.0,0.0,31.0,3.2,12.8,0.25,1.6,9.6,0.167,1.6,3.2,0.5,0.0,0.0,1.6,4.8,6.4,1.6,0.0,0.0,0.0,0.0,8.0,84.0,117.0,2.4,0.313,0.75,0.0,3.7,10.3,7.1,4.1,0.0,0.0,0.0,11.2,0.0,0.0,0.0,-0.033,-4.9,-3.3,-8.2,0.0
Career,,,NBA,,9.0,0.0,39.0,2.5,12.6,0.2,1.3,10.1,0.125,1.3,2.5,0.5,0.0,0.0,2.5,5.0,7.6,1.3,0.0,0.0,0.0,2.5,6.3,75.0,117.0,0.4,0.25,0.8,0.0,5.5,10.9,8.3,3.3,0.0,0.0,0.0,11.0,-0.1,0.0,0.0,-0.056,-6.9,-3.7,-10.6,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,UTA,NBA,,7.0,0.0,31.0,3.2,12.8,0.25,1.6,9.6,0.167,1.6,3.2,0.5,0.0,0.0,1.6,4.8,6.4,1.6,0.0,0.0,0.0,0.0,8.0,84.0,117.0,2.4,0.313,0.75,0.0,3.7,10.3,7.1,4.1,0.0,0.0,0.0,11.2,0.0,0.0,0.0,-0.033,-4.9,-3.3,-8.2,0.0
1 season,,MEM,NBA,,2.0,0.0,8.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,39.0,115.0,-7.1,0.0,1.0,0.0,12.8,13.4,13.1,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,-0.143,-14.5,-5.5,-19.9,0.0
