Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,22.0,HOU,NBA,SF,2,0,16,3.1,12.3,0.25,3.1,12.3,0.25,0.0,0.0,0.0,0.0,3.1,3.1,6.1,0.0,0.0,0.0,0.0,0.0,9.2,95,118,3.8,0.375,1.0,0.0,6.8,7.1,6.9,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,-0.014,-1.6,-4.8,-6.4,0.0
Career,,,NBA,,2,0,16,3.1,12.3,0.25,3.1,12.3,0.25,0.0,0.0,0.0,0.0,3.1,3.1,6.1,0.0,0.0,0.0,0.0,0.0,9.2,95,118,3.8,0.375,1.0,0.0,6.8,7.1,6.9,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,-0.014,-1.6,-4.8,-6.4,0.0
