Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006-07,21.0,NYK,NBA,C,5.0,0.0,44.0,1.2,7.2,0.167,0.0,0.0,1.2,7.2,0.167,2.4,7.2,0.333,1.2,9.6,10.8,1.2,2.4,1.2,2.4,4.8,4.8,52.0,104.0,1.5,0.231,0.0,1.0,2.7,21.4,12.2,3.2,2.4,1.8,18.8,11.0,-0.1,0.1,-0.1,-0.083,-7.1,0.4,-6.6,0.0
2007-08,22.0,NYK,NBA,C,18.0,2.0,181.0,6.1,16.8,0.362,0.0,0.0,6.1,16.8,0.362,4.1,8.4,0.483,3.5,7.2,10.7,0.6,1.2,0.6,2.6,10.7,16.2,83.0,112.0,4.3,0.396,0.0,0.5,7.3,16.2,11.6,1.8,1.2,0.9,11.3,19.8,-0.3,0.1,-0.2,-0.061,-8.7,-2.9,-11.6,-0.4
2008-09,23.0,ATL,NBA,C,23.0,0.0,89.0,4.2,10.2,0.412,0.0,0.0,4.2,10.2,0.412,2.4,2.4,1.0,2.4,9.6,12.0,1.2,1.2,0.6,4.2,15.0,10.8,81.0,106.0,1.8,0.48,0.0,0.235,5.3,21.0,13.2,3.3,1.2,0.9,27.2,13.6,-0.1,0.1,0.0,-0.013,-10.6,0.1,-10.5,-0.2
2009-10,24.0,ATL,NBA,PF,28.0,0.0,124.0,9.9,17.6,0.561,0.0,0.0,9.9,17.6,0.561,6.9,11.6,0.593,4.3,12.0,16.3,0.9,2.1,1.3,5.2,14.6,26.6,102.0,101.0,14.6,0.586,0.0,0.659,9.3,26.6,17.9,2.6,2.1,1.8,18.5,24.1,0.1,0.2,0.3,0.108,-5.9,-0.1,-6.0,-0.1
Career,,,NBA,,74.0,2.0,438.0,6.3,14.7,0.426,0.0,0.0,6.3,14.7,0.426,4.3,8.0,0.545,3.3,9.3,12.6,0.8,1.6,0.8,3.6,12.1,16.9,88.0,107.0,6.4,0.463,0.0,0.541,7.0,20.7,13.8,2.5,1.6,1.2,16.6,18.8,-0.5,0.5,-0.1,-0.006,-8.1,-1.2,-9.3,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ATL,NBA,,51.0,0.0,213.0,7.5,14.5,0.517,0.0,0.0,7.5,14.5,0.517,5.0,7.8,0.645,3.5,11.0,14.5,1.0,1.8,1.0,4.8,14.8,20.1,96.0,103.0,9.3,0.558,0.0,0.534,7.6,24.3,15.9,2.9,1.8,1.4,21.0,19.7,-0.1,0.3,0.3,0.058,-7.9,0.0,-7.9,-0.3
2 seasons,,NYK,NBA,,23.0,2.0,225.0,5.1,14.9,0.344,0.0,0.0,5.1,14.9,0.344,3.7,8.2,0.457,3.0,7.7,10.7,0.7,1.4,0.7,2.6,9.6,14.0,80.0,110.0,3.8,0.378,0.0,0.547,6.4,17.2,11.7,2.0,1.4,1.0,12.2,18.0,-0.5,0.2,-0.3,-0.065,-8.4,-2.2,-10.6,-0.5
