Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2021-22,25.0,OKC,NBA,SG,2,0,11,4.4,17.7,0.25,4.4,17.7,0.25,0.0,0.0,0.0,0.0,0.0,13.3,13.3,0.0,0.0,0.0,4.4,0.0,13.3,60,114,-0.8,0.375,1.0,0.0,0.0,28.5,14.0,0.0,0.0,0.0,20.0,19.6,-0.1,0.0,0.0,-0.181,-8.3,-2.9,-11.2,0.0
Career,,,NBA,,2,0,11,4.4,17.7,0.25,4.4,17.7,0.25,0.0,0.0,0.0,0.0,0.0,13.3,13.3,0.0,0.0,0.0,4.4,0.0,13.3,60,114,-0.8,0.375,1.0,0.0,0.0,28.5,14.0,0.0,0.0,0.0,20.0,19.6,-0.1,0.0,0.0,-0.181,-8.3,-2.9,-11.2,0.0
