Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020-21,23.0,LAC,NBA,PF,3.0,0.0,11.0,4.5,13.5,0.333,4.5,9.0,0.5,0.0,4.5,0.0,0.0,0.0,0.0,13.5,13.5,0.0,0.0,0.0,0.0,13.5,13.5,102.0,112.0,2.9,0.5,0.667,0.0,0.0,29.8,15.3,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.049,-7.0,-2.1,-9.1,0.0
2021-22,24.0,TOT,NBA,PF,15.0,0.0,63.0,6.3,14.9,0.421,3.9,7.9,0.5,2.4,7.1,0.333,0.0,0.0,1.6,11.8,13.4,3.9,0.0,0.0,1.6,3.1,16.5,114.0,111.0,10.7,0.553,0.526,0.0,3.5,25.2,14.7,12.7,0.0,0.0,9.5,14.6,0.1,0.1,0.1,0.097,-0.6,-0.5,-1.1,0.0
2021-22,24.0,UTA,NBA,PF,7.0,0.0,35.0,2.8,12.7,0.222,2.8,5.6,0.5,0.0,7.1,0.0,0.0,0.0,0.0,14.1,14.1,0.0,0.0,0.0,2.8,4.2,8.5,57.0,111.0,-1.6,0.333,0.444,0.0,0.0,30.3,15.6,0.0,0.0,0.0,18.2,13.7,-0.1,0.0,-0.1,-0.104,-7.9,-1.9,-9.8,-0.1
2021-22,24.0,BOS,NBA,PF,8.0,0.0,28.0,10.6,17.7,0.6,5.3,10.6,0.5,5.3,7.1,0.75,0.0,0.0,3.5,8.9,12.4,8.9,0.0,0.0,0.0,1.8,26.6,167.0,111.0,26.1,0.75,0.6,0.0,7.9,18.8,13.5,28.6,0.0,0.0,0.0,15.7,0.2,0.0,0.2,0.348,8.6,1.2,9.8,0.1
Career,,,NBA,,18.0,0.0,74.0,6.0,14.7,0.409,4.0,8.0,0.5,2.0,6.7,0.3,0.0,0.0,1.3,12.0,13.4,3.3,0.0,0.0,1.3,4.7,16.1,112.0,111.0,9.6,0.545,0.545,0.0,3.0,25.9,14.8,10.8,0.0,0.0,8.3,14.2,0.1,0.1,0.1,0.09,-1.5,-0.7,-2.3,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,BOS,NBA,,8.0,0.0,28.0,10.6,17.7,0.6,5.3,10.6,0.5,5.3,7.1,0.75,0.0,0.0,3.5,8.9,12.4,8.9,0.0,0.0,0.0,1.8,26.6,167.0,111.0,26.1,0.75,0.6,0.0,7.9,18.8,13.5,28.6,0.0,0.0,0.0,15.7,0.2,0.0,0.2,0.348,8.6,1.2,9.8,0.1
1 season,,UTA,NBA,,7.0,0.0,35.0,2.8,12.7,0.222,2.8,5.6,0.5,0.0,7.1,0.0,0.0,0.0,0.0,14.1,14.1,0.0,0.0,0.0,2.8,4.2,8.5,57.0,111.0,-1.6,0.333,0.444,0.0,0.0,30.3,15.6,0.0,0.0,0.0,18.2,13.7,-0.1,0.0,-0.1,-0.104,-7.9,-1.9,-9.8,-0.1
1 season,,LAC,NBA,,3.0,0.0,11.0,4.5,13.5,0.333,4.5,9.0,0.5,0.0,4.5,0.0,0.0,0.0,0.0,13.5,13.5,0.0,0.0,0.0,0.0,13.5,13.5,102.0,112.0,2.9,0.5,0.667,0.0,0.0,29.8,15.3,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.049,-7.0,-2.1,-9.1,0.0
