Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2021-22,27.0,ATL,NBA,PG,3,0,13,0.0,15.1,0.0,0.0,0.0,0.0,15.1,0.0,0.0,15.1,0.0,3.8,7.6,11.3,11.3,0.0,0.0,3.8,3.8,0.0,38,119,-11.2,0.0,0.0,1.0,8.5,16.7,12.6,26.7,0.0,0.0,14.8,22.7,-0.1,0.0,-0.1,-0.45,-15.8,-7.6,-23.5,-0.1
Career,,,NBA,,3,0,13,0.0,15.1,0.0,0.0,0.0,0.0,15.1,0.0,0.0,15.1,0.0,3.8,7.6,11.3,11.3,0.0,0.0,3.8,3.8,0.0,38,119,-11.2,0.0,0.0,1.0,8.5,16.7,12.6,26.7,0.0,0.0,14.8,22.7,-0.1,0.0,-0.1,-0.45,-15.8,-7.6,-23.5,-0.1
