Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,24.0,NOH,NBA,C,4,0,39,2.8,8.4,0.333,0.0,0.0,2.8,8.4,0.333,0.0,0.0,1.4,7.0,8.4,0.0,0.0,1.4,2.8,7.0,5.6,58,108,-0.9,0.333,0.0,0.0,3.1,15.0,9.2,0.0,0.0,2.1,25.0,9.7,-0.1,0.0,-0.1,-0.079,-8.4,-2.4,-10.8,-0.1
Career,,,NBA,,4,0,39,2.8,8.4,0.333,0.0,0.0,2.8,8.4,0.333,0.0,0.0,1.4,7.0,8.4,0.0,0.0,1.4,2.8,7.0,5.6,58,108,-0.9,0.333,0.0,0.0,3.1,15.0,9.2,0.0,0.0,2.1,25.0,9.7,-0.1,0.0,-0.1,-0.079,-8.4,-2.4,-10.8,-0.1
