Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,26.0,CLE,NBA,SF,2,0,12,4.3,12.9,0.333,0.0,0.0,4.3,12.9,0.333,0.0,0.0,4.3,4.3,8.6,0.0,0.0,0.0,4.3,4.3,8.6,64,114,-1.0,0.333,0.0,0.0,9.1,9.6,9.3,0.0,0.0,0.0,25.0,14.9,0.0,0.0,0.0,-0.141,-8.7,-4.6,-13.3,0.0
Career,,,NBA,,2,0,12,4.3,12.9,0.333,0.0,0.0,4.3,12.9,0.333,0.0,0.0,4.3,4.3,8.6,0.0,0.0,0.0,4.3,4.3,8.6,64,114,-1.0,0.333,0.0,0.0,9.1,9.6,9.3,0.0,0.0,0.0,25.0,14.9,0.0,0.0,0.0,-0.141,-8.7,-4.6,-13.3,0.0
