Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,24.0,LAL,NBA,SF,2,0,11,0.0,4.4,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,4.4,0.0,4.4,4.4,4.4,0.0,0.0,0.0,0.0,92,110,7.6,0.0,0.0,0.0,9.7,0.0,4.9,11.4,4.4,0.0,0.0,4.0,0.0,0.0,0.0,0.018,-0.6,0.9,0.3,0.0
Career,,,NBA,,2,0,11,0.0,4.4,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,4.4,0.0,4.4,4.4,4.4,0.0,0.0,0.0,0.0,92,110,7.6,0.0,0.0,0.0,9.7,0.0,4.9,11.4,4.4,0.0,0.0,4.0,0.0,0.0,0.0,0.018,-0.6,0.9,0.3,0.0
