Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,21.0,MEM,NBA,PF,19.0,2.0,126.0,8.7,15.3,0.568,0.0,0.0,8.7,15.3,0.568,6.2,11.6,0.536,6.6,7.5,14.1,1.7,2.1,2.1,2.9,10.4,23.6,114.0,100.0,18.6,0.578,0.0,0.757,14.6,16.3,15.4,5.2,2.1,3.3,12.4,20.5,0.3,0.2,0.5,0.186,-1.3,0.1,-1.1,0.0
2015-16,22.0,TOT,NBA,C,7.0,0.0,18.0,8.6,14.3,0.6,0.0,0.0,8.6,14.3,0.6,2.9,5.7,0.5,2.9,8.6,11.4,2.9,2.9,0.0,0.0,2.9,20.0,131.0,103.0,20.0,0.595,0.0,0.4,6.1,18.8,12.6,9.6,2.8,0.0,0.0,14.9,0.1,0.0,0.1,0.209,1.9,0.1,2.0,0.0
2015-16,22.0,MEM,NBA,C,2.0,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,12.9,12.9,25.7,0.0,0.0,0.0,0.0,0.0,0.0,214.0,109.0,13.6,,,,27.3,29.8,28.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.163,1.4,-5.4,-3.9,0.0
2015-16,22.0,MIA,NBA,C,5.0,0.0,14.0,11.0,18.3,0.6,0.0,0.0,11.0,18.3,0.6,3.7,7.3,0.5,0.0,7.3,7.3,3.7,3.7,0.0,0.0,3.7,25.6,126.0,101.0,21.8,0.595,0.0,0.4,0.0,15.7,8.1,12.3,3.7,0.0,0.0,19.2,0.0,0.0,0.1,0.222,2.0,1.7,3.7,0.0
2016-17,23.0,DEN,NBA,C,2.0,0.0,7.0,7.0,7.0,1.0,0.0,0.0,7.0,7.0,1.0,7.0,14.0,0.5,7.0,7.0,14.0,14.0,7.0,0.0,0.0,20.9,20.9,183.0,101.0,31.5,0.798,0.0,2.0,15.9,15.6,15.8,40.1,7.0,0.0,0.0,11.4,0.1,0.0,0.1,0.48,4.9,11.9,16.8,0.0
Career,,,NBA,,28.0,2.0,151.0,8.6,14.8,0.581,0.0,0.0,8.6,14.8,0.581,5.8,11.0,0.531,6.2,7.6,13.8,2.4,2.4,1.7,2.4,10.0,23.0,118.0,100.0,19.4,0.587,0.0,0.744,13.6,16.5,15.1,7.3,2.4,2.7,10.9,19.4,0.4,0.3,0.6,0.202,-0.6,0.7,0.1,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MEM,NBA,,21.0,2.0,130.0,8.4,14.9,0.568,0.0,0.0,8.4,14.9,0.568,6.0,11.2,0.536,6.8,7.6,14.4,1.6,2.0,2.0,2.8,10.0,22.9,114.0,100.0,18.5,0.578,0.0,0.757,15.0,16.7,15.8,5.0,2.0,3.2,12.4,19.9,0.3,0.2,0.5,0.185,-1.2,0.0,-1.2,0.0
1 season,,MIA,NBA,,5.0,0.0,14.0,11.0,18.3,0.6,0.0,0.0,11.0,18.3,0.6,3.7,7.3,0.5,0.0,7.3,7.3,3.7,3.7,0.0,0.0,3.7,25.6,126.0,101.0,21.8,0.595,0.0,0.4,0.0,15.7,8.1,12.3,3.7,0.0,0.0,19.2,0.0,0.0,0.1,0.222,2.0,1.7,3.7,0.0
1 season,,DEN,NBA,,2.0,0.0,7.0,7.0,7.0,1.0,0.0,0.0,7.0,7.0,1.0,7.0,14.0,0.5,7.0,7.0,14.0,14.0,7.0,0.0,0.0,20.9,20.9,183.0,101.0,31.5,0.798,0.0,2.0,15.9,15.6,15.8,40.1,7.0,0.0,0.0,11.4,0.1,0.0,0.1,0.48,4.9,11.9,16.8,0.0
