Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,21.0,CLE,NBA,C,32,2,214,11.2,15.3,0.731,0.0,0.0,11.2,15.3,0.731,4.8,6.6,0.724,5.5,8.2,13.7,1.1,0.5,3.0,2.5,6.9,27.2,137,111,24.2,0.746,0.0,0.433,12.8,18.6,15.7,3.8,0.5,5.2,12.1,18.8,0.9,0.2,1.0,0.231,1.9,-0.9,1.0,0.2
2018-19,22.0,CLE,NBA,C,59,25,1082,8.4,15.2,0.553,0.0,0.0,8.4,15.2,0.553,4.3,6.1,0.705,5.0,9.7,14.7,2.4,0.6,1.0,2.8,5.2,21.1,116,117,16.2,0.59,0.0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2.0,0.087,-1.1,-2.1,-3.2,-0.3
2019-20,23.0,CLE,NBA,C,22,0,221,9.0,15.9,0.569,0.0,0.0,9.0,15.9,0.569,3.1,4.2,0.737,4.0,10.6,14.5,1.3,1.5,1.1,2.2,5.9,21.1,116,113,16.4,0.597,0.0,0.264,9.0,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,0.106,-1.7,-1.5,-3.2,-0.1
Career,,,NBA,,113,27,1517,8.9,15.3,0.581,0.0,0.0,8.9,15.3,0.581,4.2,5.9,0.711,4.9,9.6,14.5,2.1,0.7,1.3,2.7,5.5,22.0,119,115,17.4,0.614,0.0,0.383,10.7,22.4,16.3,6.6,0.7,2.3,13.0,18.2,2.8,0.6,3.5,0.11,-0.8,-1.8,-2.6,-0.2
