Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2010-11,22.0,MIA,NBA,C,2.0,0.0,11.0,4.8,14.4,0.333,0.0,0.0,4.8,14.4,0.333,0.0,0.0,,4.8,9.6,14.4,0.0,0.0,0.0,9.6,9.6,9.6,52.0,106.0,-6.4,0.333,0.0,0.0,11.5,20.4,16.2,0.0,0.0,0.0,40.0,21.3,-0.1,0.0,-0.1,-0.246,-15.1,-2.8,-17.9,0.0
2011-12,23.0,MIA,NBA,C,35.0,6.0,301.0,7.7,16.4,0.468,0.0,0.0,7.7,16.4,0.468,3.1,4.9,0.643,4.7,7.7,12.4,1.6,1.4,1.4,3.0,12.8,18.5,100.0,100.0,10.4,0.498,0.0,0.298,11.1,16.8,14.1,4.9,1.4,2.2,13.8,19.0,0.1,0.5,0.6,0.101,-5.9,-0.1,-6.0,-0.3
2012-13,24.0,TOT,NBA,C,11.0,0.0,32.0,6.7,18.5,0.364,0.0,0.0,6.7,18.5,0.364,0.0,5.0,0.0,11.8,8.4,20.2,0.0,0.0,0.0,5.0,13.4,13.4,75.0,105.0,1.6,0.325,0.0,0.273,27.2,18.5,22.7,0.0,0.0,0.0,19.6,22.4,-0.1,0.0,-0.1,-0.107,-12.1,-6.6,-18.8,-0.1
2012-13,24.0,MIA,NBA,C,4.0,0.0,12.0,13.2,22.1,0.6,0.0,0.0,13.2,22.1,0.6,0.0,0.0,,17.6,13.2,30.9,0.0,0.0,0.0,8.8,17.6,26.5,103.0,104.0,17.0,0.6,0.0,0.0,43.5,29.1,35.9,0.0,0.0,0.0,28.6,27.9,0.0,0.0,0.0,0.114,-6.0,-5.4,-11.3,0.0
2012-13,24.0,MEM,NBA,C,7.0,0.0,20.0,2.7,16.3,0.167,0.0,0.0,2.7,16.3,0.167,0.0,8.1,0.0,8.1,5.4,13.6,0.0,0.0,0.0,2.7,10.9,5.4,48.0,106.0,-7.7,0.137,0.0,0.5,17.4,12.0,14.8,0.0,0.0,0.0,12.0,19.2,-0.1,0.0,-0.1,-0.239,-15.9,-7.4,-23.2,-0.1
2013-14,25.0,ATL,NBA,C,2.0,0.0,3.0,0.0,16.9,0.0,0.0,0.0,0.0,16.9,0.0,0.0,33.8,0.0,50.7,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,84.0,116.0,13.1,0.0,0.0,2.0,100.0,0.0,57.9,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,-0.18,1.8,-26.1,-24.3,0.0
Career,,,NBA,,50.0,6.0,347.0,7.4,16.6,0.45,0.0,0.0,7.4,16.6,0.45,2.7,5.0,0.545,5.8,7.7,13.5,1.4,1.2,1.2,3.3,12.6,17.6,95.0,101.0,9.1,0.47,0.0,0.303,13.4,16.9,15.3,4.2,1.2,1.9,15.1,19.5,0.0,0.5,0.5,0.068,-6.7,-1.0,-7.7,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIA,NBA,,41.0,6.0,324.0,7.8,16.6,0.471,0.0,0.0,7.8,16.6,0.471,2.9,4.5,0.643,5.2,8.0,13.2,1.5,1.3,1.3,3.4,12.8,18.5,99.0,100.0,10.1,0.499,0.0,0.275,12.4,17.4,15.0,4.5,1.3,2.0,15.5,19.4,0.1,0.5,0.6,0.09,-6.2,-0.4,-6.6,-0.4
1 season,,MEM,NBA,,7.0,0.0,20.0,2.7,16.3,0.167,0.0,0.0,2.7,16.3,0.167,0.0,8.1,0.0,8.1,5.4,13.6,0.0,0.0,0.0,2.7,10.9,5.4,48.0,106.0,-7.7,0.137,0.0,0.5,17.4,12.0,14.8,0.0,0.0,0.0,12.0,19.2,-0.1,0.0,-0.1,-0.239,-15.9,-7.4,-23.2,-0.1
1 season,,ATL,NBA,,2.0,0.0,3.0,0.0,16.9,0.0,0.0,0.0,0.0,16.9,0.0,0.0,33.8,0.0,50.7,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,84.0,116.0,13.1,0.0,0.0,2.0,100.0,0.0,57.9,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,-0.18,1.8,-26.1,-24.3,0.0
