Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,DRtg,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2021-22,23.0,MIL,NBA,C,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,16.0,0.0,0.0,16.0,0.0,74,15.6,0.0,34.6,17.7,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.26,-4.8,11.8,7.0,0.0
Career,,,NBA,,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,16.0,0.0,0.0,16.0,0.0,74,15.6,0.0,34.6,17.7,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.26,-4.8,11.8,7.0,0.0
