Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020-21,22.0,CHO,NBA,SG,7,0,26,3.8,13.1,0.286,3.8,13.1,0.286,0.0,0.0,5.6,5.6,1.0,1.9,0.0,1.9,1.9,0.0,1.9,1.9,1.9,16.9,110,120,8.2,0.541,1.0,0.429,4.1,0.0,2.1,5.1,0.0,3.8,10.7,15.4,0.0,0.0,0.0,0.038,-1.5,-2.5,-4.0,0.0
Career,,,NBA,,7,0,26,3.8,13.1,0.286,3.8,13.1,0.286,0.0,0.0,5.6,5.6,1.0,1.9,0.0,1.9,1.9,0.0,1.9,1.9,1.9,16.9,110,120,8.2,0.541,1.0,0.429,4.1,0.0,2.1,5.1,0.0,3.8,10.7,15.4,0.0,0.0,0.0,0.038,-1.5,-2.5,-4.0,0.0
