Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,25.0,OKC,NBA,PF,5,0,17,12.1,15.2,0.8,0.0,0.0,12.1,15.2,0.8,0.0,0.0,3.0,3.0,6.1,0.0,0.0,0.0,3.0,3.0,24.3,128,112,17.6,0.8,0.0,0.0,7.2,6.3,6.7,0.0,0.0,0.0,16.7,16.0,0.0,0.0,0.1,0.142,1.0,-3.0,-2.0,0.0
Career,,,NBA,,5,0,17,12.1,15.2,0.8,0.0,0.0,12.1,15.2,0.8,0.0,0.0,3.0,3.0,6.1,0.0,0.0,0.0,3.0,3.0,24.3,128,112,17.6,0.8,0.0,0.0,7.2,6.3,6.7,0.0,0.0,0.0,16.7,16.0,0.0,0.0,0.1,0.142,1.0,-3.0,-2.0,0.0
