Season,Age,Tm,Lg,Pos,G,GS,MP,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
2009-10,24.0,LAC,NBA,PG,1,0,0,0.0,0.0,0.0,-6.4,-0.6,-7.0,0.0
Career,,,NBA,,1,0,0,0.0,0.0,0.0,,,,0.0
