Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,22.0,SAC,NBA,C,3,0,3,16.8,33.6,0.5,0.0,0.0,16.8,33.6,0.5,0.0,0.0,0.0,16.8,16.8,16.8,0.0,16.8,0.0,0.0,33.6,124,88,44.3,0.5,0.0,0.0,0.0,36.5,18.9,78.5,0.0,26.3,0.0,29.4,0.0,0.0,0.0,0.389,14.9,17.5,32.5,0.0
Career,,,NBA,,3,0,3,16.8,33.6,0.5,0.0,0.0,16.8,33.6,0.5,0.0,0.0,0.0,16.8,16.8,16.8,0.0,16.8,0.0,0.0,33.6,124,88,44.3,0.5,0.0,0.0,0.0,36.5,18.9,78.5,0.0,26.3,0.0,29.4,0.0,0.0,0.0,0.389,14.9,17.5,32.5,0.0
