Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,23.0,UTA,NBA,PF,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,35.4,53.1,0.0,0.0,0.0,17.7,0.0,0.0,46,93,4.7,38.7,76.6,57.8,0.0,0.0,0.0,100.0,15.3,0.0,0.0,0.0,-0.215,-9.4,-3.7,-13.0,0.0
Career,,,NBA,,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,35.4,53.1,0.0,0.0,0.0,17.7,0.0,0.0,46,93,4.7,38.7,76.6,57.8,0.0,0.0,0.0,100.0,15.3,0.0,0.0,0.0,-0.215,-9.4,-3.7,-13.0,0.0
