Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017-18,25.0,CHO,NBA,C,4,0,20,9.8,17.1,0.571,0.0,0.0,9.8,17.1,0.571,0.0,2.4,0.0,7.3,17.1,24.4,0.0,2.4,0.0,0.0,12.2,19.5,122,103,18.0,0.538,0.0,0.143,16.0,38.5,27.1,0.0,2.4,0.0,0.0,16.1,0.0,0.0,0.1,0.183,-3.3,-1.3,-4.6,0.0
Career,,,NBA,,4,0,20,9.8,17.1,0.571,0.0,0.0,9.8,17.1,0.571,0.0,2.4,0.0,7.3,17.1,24.4,0.0,2.4,0.0,0.0,12.2,19.5,122,103,18.0,0.538,0.0,0.143,16.0,38.5,27.1,0.0,2.4,0.0,0.0,16.1,0.0,0.0,0.1,0.183,-3.3,-1.3,-4.6,0.0
