Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,26.0,TOT,NBA,PF,5.0,0.0,30.0,1.7,8.7,0.2,0.0,0.0,1.7,8.7,0.2,1.7,3.5,0.5,3.5,10.4,13.9,5.2,0.0,0.0,1.7,5.2,5.2,81.0,112.0,3.8,0.255,0.0,0.4,7.6,23.5,15.4,13.5,0.0,0.0,14.5,10.4,0.0,0.0,0.0,-0.044,-4.0,-1.2,-5.2,0.0
2013-14,26.0,NOP,NBA,PF,3.0,0.0,25.0,2.1,8.3,0.25,0.0,0.0,2.1,8.3,0.25,2.1,4.2,0.5,4.2,10.4,14.6,6.2,0.0,0.0,2.1,6.2,6.2,90.0,113.0,5.6,0.307,0.0,0.5,9.2,23.6,16.3,16.2,0.0,0.0,17.0,10.7,0.0,0.0,0.0,-0.016,-3.1,-0.5,-3.6,0.0
2013-14,26.0,CLE,NBA,PF,2.0,0.0,5.0,0.0,10.3,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,,0.0,10.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,-5.3,0.0,0.0,0.0,0.0,23.0,11.2,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,-0.179,-8.7,-4.4,-13.1,0.0
2014-15,27.0,MIN,NBA,C,6.0,1.0,68.0,9.0,10.5,0.857,0.0,0.0,9.0,10.5,0.857,2.2,6.0,0.375,5.2,10.5,15.7,3.0,0.7,2.2,1.5,4.5,20.2,143.0,110.0,22.8,0.771,0.0,0.571,11.4,24.3,17.7,10.2,0.7,3.5,10.2,12.7,0.2,0.0,0.3,0.197,2.8,-1.4,1.4,0.1
2016-17,29.0,ORL,NBA,C,8.0,0.0,28.0,3.5,7.1,0.5,0.0,0.0,3.5,7.1,0.5,0.0,0.0,,3.5,7.1,10.6,3.5,0.0,1.8,3.5,5.3,7.1,90.0,113.0,5.8,0.5,0.0,0.0,7.6,16.0,11.7,9.9,0.0,2.9,33.3,9.4,0.0,0.0,0.0,-0.005,-6.1,-0.3,-6.4,0.0
Career,,,NBA,,19.0,1.0,126.0,6.0,9.3,0.652,0.0,0.0,6.0,9.3,0.652,1.6,4.0,0.4,4.4,9.7,14.1,3.6,0.4,1.6,2.0,4.8,13.7,118.0,111.0,14.5,0.62,0.0,0.435,9.7,22.3,15.8,10.9,0.4,2.5,15.4,11.4,0.2,0.1,0.2,0.095,-0.8,-1.1,-1.9,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,ORL,NBA,,8.0,0.0,28.0,3.5,7.1,0.5,0.0,0.0,3.5,7.1,0.5,0.0,0.0,,3.5,7.1,10.6,3.5,0.0,1.8,3.5,5.3,7.1,90.0,113.0,5.8,0.5,0.0,0.0,7.6,16.0,11.7,9.9,0.0,2.9,33.3,9.4,0.0,0.0,0.0,-0.005,-6.1,-0.3,-6.4,0.0
1 season,,MIN,NBA,,6.0,1.0,68.0,9.0,10.5,0.857,0.0,0.0,9.0,10.5,0.857,2.2,6.0,0.375,5.2,10.5,15.7,3.0,0.7,2.2,1.5,4.5,20.2,143.0,110.0,22.8,0.771,0.0,0.571,11.4,24.3,17.7,10.2,0.7,3.5,10.2,12.7,0.2,0.0,0.3,0.197,2.8,-1.4,1.4,0.1
1 season,,NOP,NBA,,3.0,0.0,25.0,2.1,8.3,0.25,0.0,0.0,2.1,8.3,0.25,2.1,4.2,0.5,4.2,10.4,14.6,6.2,0.0,0.0,2.1,6.2,6.2,90.0,113.0,5.6,0.307,0.0,0.5,9.2,23.6,16.3,16.2,0.0,0.0,17.0,10.7,0.0,0.0,0.0,-0.016,-3.1,-0.5,-3.6,0.0
1 season,,CLE,NBA,,2.0,0.0,5.0,0.0,10.3,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,,0.0,10.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,-5.3,0.0,0.0,0.0,0.0,23.0,11.2,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,-0.179,-8.7,-4.4,-13.1,0.0
