Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PG,74.0,15.0,2219.0,8.2,16.8,0.486,1.9,4.7,0.401,6.3,12.1,0.519,4.2,4.9,0.858,0.6,3.1,3.7,6.9,1.6,0.1,2.8,3.1,22.4,115.0,112.0,15.9,0.591,0.28,0.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,4.5,0.7,5.2,0.113,0.9,-0.8,0.1,1.2
PG,68.0,64.0,2063.0,8.3,17.5,0.476,1.8,4.3,0.417,6.5,13.2,0.495,3.6,4.2,0.86,0.6,3.2,3.7,7.7,1.6,0.2,2.8,2.9,22.1,113.0,114.0,15.3,0.57,0.245,0.239,1.3,7.1,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,0.091,0.3,-1.2,-0.9,0.6
PG,69.0,64.0,2018.0,7.8,15.8,0.495,2.4,5.1,0.468,5.4,10.7,0.508,3.1,3.6,0.882,0.9,3.5,4.4,9.1,2.3,0.4,2.1,3.0,21.2,126.0,110.0,18.8,0.61,0.321,0.226,2.1,7.8,5.0,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.181,2.4,0.3,2.7,2.4
PG,76.0,76.0,2143.0,7.0,15.0,0.467,1.8,4.4,0.407,5.2,10.6,0.492,3.6,4.3,0.832,0.8,4.5,5.3,10.5,2.5,0.2,2.9,3.1,19.5,118.0,108.0,16.7,0.574,0.294,0.288,1.9,9.9,6.0,29.9,2.5,0.4,14.4,17.7,3.9,2.9,6.8,0.153,0.8,1.0,1.8,2.1
