Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
SG,22.0,1.0,165.0,9.8,21.6,0.452,2.7,8.3,0.321,7.1,13.3,0.533,2.4,3.0,0.8,1.5,3.6,5.0,3.3,2.1,0.0,2.4,3.0,24.6,107.0,114.0,13.7,0.536,0.384,0.137,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,0.1,0.1,0.2,0.057,-0.4,-0.2,-0.6,0.1
SG,62.0,0.0,583.0,6.2,15.1,0.41,2.4,7.0,0.341,3.8,8.2,0.469,1.9,2.8,0.667,1.2,4.8,6.0,2.6,1.3,0.6,2.0,3.1,16.7,101.0,113.0,9.0,0.509,0.461,0.185,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,0.1,0.3,0.3,0.028,-2.4,-1.4,-3.8,-0.3
SG,81.0,18.0,1879.0,9.1,19.3,0.474,4.3,10.6,0.402,4.9,8.7,0.56,1.5,1.7,0.848,0.9,4.3,5.2,2.5,1.4,0.3,1.4,3.0,24.0,117.0,112.0,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,0.8,-0.7,0.1,1.0
SG,79.0,18.0,1976.0,8.0,20.5,0.391,5.8,15.3,0.377,2.2,5.1,0.432,1.2,1.4,0.817,0.6,4.8,5.5,2.8,1.0,0.3,1.0,2.1,22.9,111.0,116.0,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1.0,0.6,4.7,19.4,1.7,1.2,2.9,0.069,0.7,-1.5,-0.7,0.7
