Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,MIL,NBA,PF,79,,27.9,3.5,7.8,.450,1.2,2.0,.587,,,10.2,1.7,,,3.3,8.1
1969-70,23,MIL,NBA,PF,82,,28.9,4.1,8.1,.511,1.5,2.1,.718,,,8.7,1.9,,,3.7,9.8
1970-71,24,MIL,NBA,PF,82,,29.6,5.0,9.7,.512,1.7,2.6,.662,,,7.2,2.8,,,3.5,11.7
1971-72,25,TOT,NBA,SF,82,,27.5,3.8,8.2,.461,1.4,2.0,.661,,,5.9,2.7,,,3.2,8.9
1972-73,26,TOT,NBA,"PG,SF",76,,21.2,3.1,6.4,.482,1.0,1.7,.586,,,5.0,1.6,,,2.9,7.1
1973-74,27,POR,NBA,SF,67,,13.1,1.5,3.4,.434,0.7,1.2,.608,1.0,1.9,2.8,1.2,0.6,0.1,1.9,3.7
1974-75,28,POR,NBA,SF,55,,9.4,1.3,2.7,.486,0.6,0.9,.667,0.5,1.1,1.6,0.5,0.4,0.1,1.7,3.2
1975-76,29,POR,NBA,SF,1,,3.0,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
